                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3501,                 4.6464,                 1.0351,                0.00268,                    0.8,                0.27948,                0.22095,                0.43408,                 3.8634,                0.82598,                 0.0991,                 0.0001,                 0.0001
                      1,                 1.5745,                 5.0921,                 1.1791,                0.00301,                    0.9,                0.28713,                0.23503,                0.42816,                 3.8297,                0.81922,               0.097294,             0.00029406,             0.00029406
                      2,                 1.4092,                  4.601,                 1.0856,                0.00318,                   0.95,                0.29955,                 0.2428,                0.44174,                 3.8018,                0.80306,                0.09548,              0.0004802,              0.0004802
                      3,                 1.3949,                 4.7847,                 1.0853,                0.00317,                   0.95,                0.30017,                0.25635,                 0.4457,                 3.7635,                0.79997,               0.093658,             0.00065842,             0.00065842
                      4,                 1.4621,                 4.5888,                 1.0952,                0.00317,                   0.95,                0.29295,                 0.2701,                0.43005,                 3.7548,                0.80128,               0.091829,             0.00082872,             0.00082872
                      5,                 1.3964,                 4.9783,                 1.0798,                0.00333,                      1,                0.29703,                0.24147,                0.41959,                 3.7923,                 0.8005,               0.089991,              0.0009911,              0.0009911
                      6,                 1.2091,                 4.5448,                0.99952,                0.00337,                      1,                 0.2619,                0.21933,                0.42009,                 3.8168,                0.81327,               0.088146,              0.0011456,              0.0011456
                      7,                0.98263,                 4.3317,                0.94503,                0.00337,                      1,                0.23364,                0.21407,                0.49657,                  3.792,                0.82097,               0.086292,              0.0012921,              0.0012921
                      8,                0.65743,                 4.0554,                0.84959,                0.00333,                      1,                0.38451,                 0.3307,                0.58206,                 3.7688,                0.82093,               0.084431,              0.0014307,              0.0014307
                      9,                0.63434,                 3.8742,                0.83304,                0.00337,                      1,                  0.515,                0.45197,                0.60736,                 3.6357,                0.81601,               0.082561,              0.0015614,              0.0015614
                     10,                0.61282,                  3.512,                0.79209,                0.00339,                      1,                0.60177,                0.49371,                0.64081,                 3.4475,                0.80918,               0.080684,              0.0016842,              0.0016842
                     11,                0.67718,                 2.9147,                0.83244,                0.00338,                      1,                0.69629,                  0.582,                0.59014,                 3.2775,                0.78841,               0.078799,              0.0017991,              0.0017991
                     12,                0.61112,                 2.2224,                0.86835,                 0.0034,                      1,                0.71624,                0.60464,                0.57163,                 3.2206,                0.79575,               0.076906,               0.001906,               0.001906
                     13,                0.59459,                 1.9712,                0.80912,                0.00339,                      1,                0.75376,                0.59454,                0.60448,                 3.2301,                0.79842,               0.075005,               0.002005,               0.002005
                     14,                0.71785,                 1.9547,                0.98837,                 0.0034,                      1,                0.77386,                0.65288,                0.49612,                 3.2141,                0.79957,               0.073096,              0.0020961,              0.0020961
                     15,                 0.6793,                 1.7516,                0.86429,                0.00338,                      1,                0.81266,                0.69205,                0.57349,                 3.2207,                0.81375,               0.071179,              0.0021793,              0.0021793
                     16,                0.69685,                 1.5918,                0.93667,                0.00336,                      1,                 0.8569,                0.68663,                0.58732,                 3.2442,                 0.8026,               0.069255,              0.0022546,              0.0022546
                     17,                0.63334,                 1.4425,                0.86646,                0.00339,                      1,                0.87667,                0.73053,                0.50378,                 3.2284,                 0.8031,               0.067322,              0.0023219,              0.0023219
                     18,                0.53245,                 1.4508,                0.80017,                 0.0034,                      1,                0.86682,                0.71193,                 0.5868,                 3.2135,                0.81075,               0.065381,              0.0023813,              0.0023813
                     19,                0.58909,                 1.3975,                0.86834,                0.00346,                      1,                0.87881,                0.73247,                0.60195,                  3.237,                0.81828,               0.063433,              0.0024328,              0.0024328
